Brand,Store,Discount,Posted_date,Comments_count,Bookmarks_count,Shares_count
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,Win Full Size Lips or $10 Off,10/14/2019,160,24,10
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,Up to 5-pc free gift,10/14/2019,10,11,8
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,Take $25 off $75 + Full Size Crushed Lip Color,9/29/2019,249,518,385
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,Take $25 off on $75 lipsticks purchase+Full Size Lip Color Gift,9/28/2019,7,25,20
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,$25 Off on $75 + Free Full-size Crushed Lip,9/28/2019,,2,9
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,Take $25 off on $75+Free Full size Crushed Lip,9/28/2019,8,31,11
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,Free Full Size Hydrating Eye Cream,9/8/2019,6,12,7
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,25% Off + Best-selling Free Gift,9/3/2019,51,290,173
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,25% Off+Free Gift,9/3/2019,5,26,8
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,Extra 25% Off+Free Gift with Purchase,9/3/2019,2,32,13
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,Get $40 Value Gift,9/2/2019,1,12,13
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,Up to 5-pc free gift,8/19/2019,1,8,4
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,Pick a Full Size Lipstick,8/17/2019,9,67,44
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,Two-day Early Access + Free Full-size Lipstick with $65 Purchase,8/17/2019,16,49,75
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,Free Lipstick with Purchase,8/15/2019,,14,6
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,Up to 5-pc free gift,8/7/2019,1,10,2
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,Extra 20% Off+Free Gift with Purchase,8/6/2019,3,43,27
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,20% Off+Free Full-size Crushed Lip,8/6/2019,8,28,10
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,20% Off + Free Gift,8/6/2019,133,350,270
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,25% Off,7/13/2019,64,127,112
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,$10 Off +Free 4-Piece Gift with Purchase,7/8/2019,33,77,28
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,$10 Off + Free 4-Piece Gift with Purchase,7/6/2019,1,10,3
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,Up to 7-pc free gift,6/26/2019,1069,261,329
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,Take 20% off,6/24/2019,19,32,26
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,Buy 2 of our best-selling Skin Clarifier,6/24/2019,4,20,14
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,$46 ,6/20/2019,3,7,2
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,Get up to $40 off,6/9/2019,166,78,32
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,Get up to $40 off,6/9/2019,5,8,7
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,Get up to $40 off,6/9/2019,21,12,8
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,Get up to $40 off,6/7/2019,6,6,6
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,Dealmoon Exclusive!,5/13/2019,1,16,12
bobbi-brown-cosmetics,Bobbi Brown Cosmetics,Dealmoon Exclusive!,5/13/2019,18,49,26
