Brand,Store,Discount,Posted_date,Comments_count,Bookmarks_count,Shares_count
giorgio-armani-beauty,Giorgio Armani Beauty,Dealmoon Exclusive: 20% off all orders,2019-03-28,680,960,662
giorgio-armani-beauty,Giorgio Armani Beauty,Dealmoon Exclusive,2019-03-27,15,9,8
giorgio-armani-beauty,Giorgio Armani Beauty,Dealmoon Exclusive: Enjoy 20% off,2019-03-27,4,24,7
giorgio-armani-beauty,Giorgio Armani Beauty,Dealmoon Exclusive: Enjoy 20% off sitewide,2019-03-27,8,20,8
giorgio-armani-beauty,Giorgio Armani Beauty,Dealmoon Exclusive: Enjoy 20% off,2019-03-27,,28,23
giorgio-armani-beauty,Giorgio Armani Beauty,Dealmoon Exclusive! Enjoy 20% off,2019-03-27,1,4,1
giorgio-armani-beauty,Giorgio Armani Beauty,Dealmoon Exclusive: Enjoy 20% off,2019-03-27,,15,1
giorgio-armani-beauty,Giorgio Armani Beauty,Dealmoon Exclusive! Enjoy 20% off,2019-03-27,2,13,10
giorgio-armani-beauty,Giorgio Armani Beauty,Dealmoon Exclusive: Enjoy 20% off sitewide + GWP,2019-03-27,28,90,38
giorgio-armani-beauty,Giorgio Armani Beauty,Dealmoon Exclusive! 10% off + free full size lipstick,2019-02-28,127,365,163
giorgio-armani-beauty,Giorgio Armani Beauty,Dealmoon Exclusive! Enjoy 10% off + GWP,2019-02-26,14,47,18
giorgio-armani-beauty,Giorgio Armani Beauty,Dealmoon Exclusive! Enjoy 10% off + GWP,2019-02-25,10,41,17
giorgio-armani-beauty,Giorgio Armani Beauty,Top 10,2019-02-19,26,101,39
giorgio-armani-beauty,Giorgio Armani Beauty,Starting from $28,2019-02-13,6,12,10
giorgio-armani-beauty,Giorgio Armani Beauty,$64,2019-02-05,30,122,26
giorgio-armani-beauty,Giorgio Armani Beauty,$75,2019-01-30,25,17,11
giorgio-armani-beauty,Giorgio Armani Beauty,Receive multiple GWP,2018-12-12,8,40,3
giorgio-armani-beauty,Giorgio Armani Beauty,Dealmoon Exclusive! Enjoy 20% off,2018-11-30,17,170,61
giorgio-armani-beauty,Giorgio Armani Beauty,Dealmoon Exclusive! Enjoy 20% off,2018-11-29,7,156,40
giorgio-armani-beauty,Giorgio Armani Beauty,Dealmoon Exclusive! Enjoy 20% off sitewide,2018-11-29,64,465,212
giorgio-armani-beauty,Giorgio Armani Beauty,Dealmoon Exclusive! Enjoy 20% off,2018-11-29,1,120,51
giorgio-armani-beauty,Giorgio Armani Beauty,Dealmoon Exclusive! Enjoy 20% off,2018-11-29,5,97,55
giorgio-armani-beauty,Giorgio Armani Beauty,Dealmoon Exclusive! Enjoy 20% off,2018-11-29,28,195,45
giorgio-armani-beauty,Giorgio Armani Beauty,Dealmoon Exclusive! Enjoy 20% off sitewide,2018-11-29,38,336,133
