Brand,Title,Description,Posted_date,End_date,Comments_count,Bookmarks_count,Shares_count
Lancome,Lancôme Beauty and Skincare on Sale,"Lancome offers 7-piece gift with $45+ purchase, and 3 additional gifts with $80+ purchase(Up to ) Free shipping on orders over",01/28/2020,,,2,6
Lancome,Dealmoon Exclusive: Lancôme Beauty and Skincare on Sale,Dealmoon Exclusive! Lancome offers 15% off  Lancôme Beauty and Skincare on Sale via exclusive coupon code,01/26/2020,,314,382,274
Lancome,Dealmoon Exclusive: Lancome Selected Sets Sale,"Lancome offers 20% off Selected Sets Sale via exclusive coupon code ""SKIN20"". Plus, with $45+ purchase, and",01/26/2020,,35,69,44
Lancome,Dealmoon Exclusive: Lancome L'Absolu Rouge Drama Matte Lipstick 196 Exclusive Access,Lancôme offers 15% off on exclusive L'Absolu Rouge Drama Matte Lipstick (Shade 196)via exclusive coupon code,01/26/2020,,39,35,15
Lancome,Lancome Advanced Genifique Sensitive Serum,"Lancome offers the 15% off Advanced Genifique Sensitive Serum for $68 via coupon code """". Plus, with your $45",01/23/2020,,2,13,6
Lancome,Lancome Selected Products Sale,"Lancome offers Selected Holiday Collection Products  20% off, no code required. Plus, select a complimentary deluxe sample at",01/14/2020,,56,96,65
Lancome,Lancome Selected Genifique Products Sale,"Lancome offers 20%  Selected Genifique Products Sale. Plus, select a complimentary deluxe sample at checkout.  Free shipping on",01/13/2020,,16,36,16
Lancome,Ending Soon: Lancôme Beauty and Skincare on Sale,"Dealmoon Exclusive! Lancôme offers to get a 4-piece sample with $49+ order, and 1 bonus sample on orders $75+, via coupon code",12/31/2019,,77,124,122
Lancome,Lancome Selected Products Sale,"Lancome offers Selected Products up to 40% off, no code required. Plus, select a complimentary deluxe sample at checkout.  Free",12/26/2019,,11,16,17
Lancome,Dealmoon Exclusive: Lancôme Beauty and Skincare Sale,"Dealmoon Exclusive! Lancôme offers to enjoy 20% off your order, 2 additional samples at $75+, free 2 Day Shipping at $95+, 2 additional samples",12/21/2019,,228,296,156
Lancome,Ending Soon: Lancome L'Absolu Rouge Drama Matte Lipstick 196 Exclusive Access,"Dealmoon Exclusive! Lancôme offers exclusive L'Absolu Rouge Drama Matte Lipstick (Shade 196)Plus, Get a",12/13/2019,,9,26,17
Lancome,Ending Soon: Genifique 100ml & Tonique Confort Set,"Lancome offers Genifique 100ml & Tonique Confort Set for $175 ($230 value), via coupon code """". Plus, Get a",12/13/2019,,7,40,22
Lancome,New Release:Lancome Advanced Genifique Duo,"Lancome offers Advanced Genifique Duo. Get a 4-piece sample with $49+ order, and  on orders $75+, via coupon code",12/10/2019,,9,7,17
Lancome,Ending Soon: Lancôme Beauty and Skincare Sale,"Lancôme offers to enjoy 20% off any order, no need code, excluded sets. Plus, Choose up to 10 samples plus a makeup bad on orders $200. Free",12/04/2019,,547,1523,1213
Lancome,Last Day: Lancome Lip product on Sale,"Lancôme offers 20% off lip products sale, no need code, excluded sets. Plus, Choose up to 10 samples plus a makeup bad",12/04/2019,,22,102,140
Lancome,Last Day: Lancome Advanced Génifique Youth Activating Serum Sale,"Lancôme offers 20% off Advanced Génifique Youth Activating Serum sale,  no need code, excluded",12/04/2019,,67,285,210
Lancome,Last Day: Lancôme Tonique Confort Products Sale,"Lancome offers 20% off with any Tonique Confort purchase, no need code, excluded sets. Plus, Choose up to 10 samples plus a makeup",12/04/2019,,116,279,256
Lancome,Lancôme Holiday Beauty Box Glam Collection,"Lancôme offers a holiday beauty box for $68 with any $39.5 purchase. Plus, receive 4 Piece Sample and Free Shipping On Orders",11/28/2019,,65,215,414
Lancome,11.11 Exclusive: Genifique 100ml & Tonique Confort Set,"Dealmoon 11.11 Exclusive! Lancome offers Genifique 100ml & Tonique Confort Set for $175 ($230 value), via coupon code",11/13/2019,,19,58,26
Lancome,11.11 Exclusive: Lancôme Beauty and Skincare Sale,"Dealmoon 11.11 Exclusive! Lancôme offers to enjoy 20% off any order, no code needed.  Plus, receive 3 deluxe samples on orders $60+ and 3",11/13/2019,,212,486,461
Lancome,Dealmoon Exclusive: Lancome L'Absolu Rouge Drama Matte Lipstick 196 Exclusive Access,Dealmoon Exclusive! Lancôme offers exclusive L'Absolu Rouge Drama Matte Lipstick (Shade 196)Free shipping on,11/13/2019,,17,19,9
Lancome,11.11 Exclusive: Lancome Advanced Génifique Youth Activating Serum Sale,Dealmoon 11.11 Exclusive! Lancôme offers 20% off Advanced Génifique Youth Activating Serum,11/12/2019,,22,46,99
Lancome,11.11 Exclusive: Lancôme Tonique Confort Products Sale,"Dealmoon 11.11 Exclusive! Lancome offers 20% off with any Tonique Confort purchase, and get 3 complimentary deluxe",11/12/2019,,12,45,105
Lancome,Lancôme Holiday Beauty Box Glam Collection,"Lancôme offers holiday beauty box for $68 with any $39.5 purchase. Plus, get $10 off $75 select items via coupon code",10/31/2019,,21,59,50
Lancome,Lancôme Tonique Confort Products Sale,"Lancome offers 15% off with Tonique Confort purchase,   via coupon code ""ENJOY15"". Plus, Lancôme offers holiday",10/28/2019,,19,60,27
Lancome,Lancôme Holiday Beauty Box Glam Collection,"Lancôme offers holiday beauty box for $68 with any $39.5 purchase. Plus, enjoy 15% off any order,  via coupon code",10/28/2019,,218,613,478
Lancome,Lancome Advanced Génifique Youth Activating Serum Sale,"Lancôme offers 15% off Advanced Génifique Youth Activating Serum sale, via coupon code",10/27/2019,,7,53,30
Lancome,Lancome Selected Products Sale,"Lancome offers Selected Products Up to 30% Off, no code required. Plus, enjoy 15% off any order,  via coupon code",10/22/2019,,7,39,14
Lancome,Last Day: Lancome L’Absolu Rouge Ruby Cream,"Lancôme offers 15% off  via coupon code ""OCTOBER15"". Or, receive a complimantary deluxe sample at check out on every",10/17/2019,,4,5,10
Lancome,Lancôme Beauty & Skincare on Sale,Lancome offers up to 10-pc gifts Lancôme Beauty & Skincare on Sale. Enjoy a 7-piece gift with your $60+ purchase，Receive 3 additional,10/10/2019,,83,192,122
Lancome,Lancome Advanced Génifique Youth Activating Serum Sale,Lancôme offers 15% off Advanced Génifique Youth Activating Serum Sale via coupon code,10/10/2019,,2,10,10
Lancome,Lancôme Beauty & Skincare on Sale,"Lancome offers free 4pc gifts with $49+ purchase, and an extra gift with $75+ order, via coupon code """". Plus, free 1 complimentary sample of",10/02/2019,,9,5,6
Lancome,Lancome Selected Products Sale,"Lancome offers Selected Products Up to 75% Off Sale, no code required. Plus, receive  with $49+ purchase,",09/26/2019,,299,229,286
Lancome,Extended: Lancome Selected Products Sale,"Lancome offers Selected Products Sale with 30% off via coupon code ""LANCOME30"". Plus, choose 7-piece sample gift on orders $60+, choose",09/21/2019,,8,17,25
Lancome,Dealmoon Exclusive: Lancôme Skin Care And Beauty Sale,"Dealmoon Exclusive! Lancôme offers 15% off with $49+ purchase, and receive extra 1 Genifique Serum",09/14/2019,,236,306,209
Lancome,Dealmoon Exclusive: Lancôme Tonique Confort Products Sale,"Dealmoon Exclusive! Lancome offers 15% off with $49+ Tonique Confort purchase, and receive extra 1 Genifique Serum",09/14/2019,,1,19,10
Lancome,Dealmoon Exclusive: Lancome Advanced Génifique Youth Activating Serum Sale,Dealmoon Exclusive! Lancôme offers 15% off with any Advanced Génifique Youth Activating Serum,09/14/2019,,7,17,17
Lancome,Dealmoon Exclusive: Lancome L’Absolu Rouge Ruby Cream,"Dealmoon Exclusive! Lancôme offers 15% off with $49+ purchase, and receive extra 1 Genifique Serum",09/11/2019,,,3,3
Lancome,Lancôme Beauty & Skincare on Sale,"Lancome offers free 4pc gifts with $49+ purchase, and an extra gift with $75+ order, via coupon code """". Plus, choose with $60+",09/11/2019,,19,45,28
Lancome,Lancome Advanced Génifique Youth Activating Serum Sale,"Lancôme offers Advanced Génifique Youth Activating Serum Sale. Plus, choose 7-pc sample with $60+",09/11/2019,,,3,4
Lancome,New Arrivals: Lancôme Holiday Advent Calendar,Lancome offers the $110 (a $318 value) Lancôme Holiday Advent Calendar. Free shipping on orders over $49.,09/06/2019,,5,6,6
Lancome,Ending Soon: Lancome Advanced Génifique Youth Activating Serum Sale,Dealmoon Exclusive! Lancôme offers 20% off with any Advanced Génifique Youth Activating Serum,09/05/2019,,58,121,52
Lancome,Ending Soon: Lancôme Tonique Confort Products Sale,"Dealmoon Exclusive! Lancome offers 20% off with Tonique Confort purchase, via coupon code """". Plus, 3 Deluxe",09/05/2019,,27,143,68
Lancome,Ending Soon: Lancôme Beauty Sale with Order $49+,"Dealmoon Exclusive! Lancôme offers 20% off sitewide via coupon code ""FRIENDS"". Plus, on",09/05/2019,,1092,1454,996
Lancome,New Arrivals: Lancome Idôle Eau de Parfum Sale,"Lancome offers Idôle Eau de Parfum Sale from $59Plus,3 Deluxe Samples on $75+orders. Plus, receive a",09/04/2019,,3,7,4
Lancome,New Arrivals: Lancome L’Absolu Rouge Ruby Cream,"Lancome offers the Lancome L’Absolu Rouge Ruby Cream for $25.6 via coupon code """". Plus,  on",09/04/2019,,9,18,18
Lancome,Ending Soon: Lancome L’Absolu Rouge Ruby Cream,"Dealmoon Exclusive! Lancôme offers 20% off  via coupon code ""FRIENDS"". Plus, 3 Deluxe Samples on $75+",09/02/2019,,9,25,14
Lancome,Lancôme Beauty & Skincare on Sale,"Lancome offers free 4pc gifts with $49+ purchase, and get extra sample with order over $79, via coupon code """". Or, 3 summer treats on orders",08/24/2019,,33,90,38
Lancome,Lancome Phased Out Favorites Sale,Lancome offers up to 30% off Lancome Phased Out Favorites Sale. Plus，free 1 complimentary sample of your choice! Free shipping on orders over,08/17/2019,,17,61,26
Lancome,Lancome Matte Shaker Lipstick Sale,"Lancome offers buy one get one Lancome Matte Shaker Lipstick Sale. via coupon code """". Free shipping on orders over $49. Deal ends",08/06/2019,,27,40,48
Lancome,Lancôme Beauty & Skincare on Sale,"Lancome offers free 6pc gifts with $75+ purchase  via coupon code ""DELUXE"". Free shipping on orders over $49. Deal ends 8/5.",08/06/2019,08/05/2019,15,22,20
Lancome,Lancôme Beauty Sale with Order $49+,"Lancôme offers Free 3 Lipsticks on order $49+, via coupon code ""LIPSTICKDAY"". Plus, Auto-replenishment Special: 15% off all",07/31/2019,,40,116,62
Lancome,Lancome Beauty Sale,"Lancome offers 20% off selected items via coupon code ""summertreat"". Free shipping on orders over $49.",07/30/2019,,12,17,5
Lancome,Lancome IDÔLE EAU DE PARFUM Early Release, Lancome offers one day only Lancome IDÔLE EAU DE PARFUM Early Release. Free shipping on orders over $49. Deal ends 7/20 23:59 PST.,07/21/2019,07/20/2019,,1,
Lancome,Lancome Phased Out Favorites Sale,Lancome offers up to 30% off Lancome Phased Out Favorites Sale. Plus，free 1 complimentary sample of your choice! Free shipping on orders over,07/16/2019,,30,115,53
Lancome,Lancome Beauty Sale,"Lancome offers 30% off select products via coupon code ""SPECIALJULY"". Free shipping on orders over $49. Deal ends 7/16.",07/15/2019,07/16/2019,4,14,4
Lancome,Lancôme Beauty & Skincare on Sale,"Lancome offers free 7pc gifts with $95+ purchase via coupon code ""4THOFJULY"". Free shipping on orders over $49. Deal ends 7/8.",07/09/2019,07/08/2019,17,20,19
Lancome,on order $49+ Advanced Génifique Youth Activating Serum purchase @ Lancôme,Lancôme offers 20% off with any $49+ Advanced Génifique Youth Activating Serum purchasevia coupon code,06/30/2019,,14,54,32
Lancome,with Tonique Confort purchase @ Lancôme,"Lancome offers 20% off with Tonique Confort purchase, via coupon code ""SUMMER20"". Plus, 2-pc deluxe samples with order over $49, 4-pc with $95,",06/30/2019,,14,74,37
Lancome,Last Day: Lancôme Beauty Sale with Order $49+,"Lancôme offers 20% off on order $49+ via coupon code ""SUMMER20"". Plus, 2-pc deluxe samples with order over $49, 4-pc with $95, 6-pc with",06/30/2019,,154,418,242
Lancome,with any $49+ Lips & Nails purchase @ Lancôme,"Lancôme offers 20% off with any $49+ Lips & Nails purchase via coupon code ""SUMMER20"". Plus, 2-pc deluxe samples with order",06/30/2019,,5,16,14
Lancome,With Suncare Products Purchase @ Lancome,"Lancome offers 15% off With Suncare Products Purchase via coupon code ""SUMMERSKIN"". Plus, get with $60 purchase. Plus, get",06/24/2019,,111,245,128
Lancome,With Lancome Pink Products Purchase,"Lancome offers free 3 deluxe samples With Lancome Pink Products $60+Purchase via coupon code """". Plus, get free Beauty",06/24/2019,,2,1,3
Lancome,With $95+ Purchase @ Lancôme,"Lancome offers free gift with $95+ purchase via coupon code ""SELFIE"". Free shipping on orders over $49.",06/21/2019,,2,4,3
Lancome,Phased Out Favorites @ Lancome,"Lancome offers Up to 30% Off with Phased Out Favorites. Plus, enjoy 4 deluxe samples with any $49 purchase via coupon code",06/20/2019,,98,287,150
Lancome,New Release: Lancome Hypnose 5-Color Eyeshadow Palette @ Lancome,"Lancome offers the Lancome Hypnose 5-Color Eyeshadow Palette for $50. Plus, get via coupon code",06/17/2019,,1,3,3
Lancome,With Bronzing & Highlighting Products Purchase @ Lancome,"Lancome offers 15% off With Bronzing & Highlighting Products Purchase via coupon code """". Plus, get 3 deluxe",06/06/2019,,,3,2
Lancome,Last Day: with Tonique Confort purchase @ Lancôme,"Lancome offers 20% off with Tonique Confort purchase via coupon code ""FRIENDS"". Plus, spend $75 and Receive 3 Additional Deluxe Samples. Free",05/31/2019,,11,72,39
Lancome,Last Day: with Advanced Génifique Youth Activating Serum purchase @ Lancôme,"Lancôme offers 20% off with Advanced Génifique Youth Activating Serum purchase via coupon code """". Plus, spend $75 and",05/31/2019,,21,112,57
Lancome,Last Day: with Hydra Zen Beauty purchase @ Lancôme,"Lancôme offers  20% off with Hydra Zen Beauty purchase via coupon code ""FRIENDS"". Plus, spend $75 and Receive 3",05/31/2019,,2,28,15
Lancome,Last Day: with any Lips & Nails purchase @ Lancôme,"Lancôme offers 20% off with any Lips & Nails purchase via coupon code ""FRIENDS"". Plus, spend $75 and Receive 3 Additional",05/31/2019,,2,37,20
Lancome,Today Only: Limited Edition L'Absolu Rouge + GWP @ Lancome,"Dealmoon Exclusive! Lancome offers 20% off Limited Edition L'Absolu Rouge via coupon code """". Plus, get a complimentary Genifique",05/20/2019,,1,6,6
Lancome,on order $49+ @ Lancôme,"Lancome offers 4-pc sample on order of $49+ via coupon code ""MAY"". Plus, enjoy a bonus sample on order of $75+. Free shipping on orders over $49. Deal",05/20/2019,,29,73,52
Lancome,With $75+ Purchase @ Lancôme,"Lancome offers free 6pc gift with $75+ purchase via coupon code ""DELUXE"". Free shipping on orders over $49.",05/17/2019,,6,11,10
Lancome,Phased Out Favorites @ Lancome,Lancome offers Enjoy 20% Off Sets and 30% Off with Phased Out Favorites . Free shipping on orders over $49.,05/15/2019,,24,46,19
Lancome,7-Day sample of Advanced Génifique @ Lancôme,Lancôme offers free 7-Day sample of Advanced Génifique.,05/07/2019,,89,61,98
Lancome,Today Only: on order $75+ @ Lancôme,"Lancome offers 4-pc sample on order of $49+ via coupon code ""ONEDAY"". Plus, enjoy a bonus sample on order of $75+. Free shipping on orders over",05/05/2019,,3,1,6
Lancome,on order $49+ @ Lancôme,"Lancôme offers 20% off on order $49+ via coupon code ""LANCOME20"". Free shipping on orders over $49.",04/26/2019,,103,317,185
Lancome,on order $49+ Advanced Génifique Youth Activating Serum purchase @ Lancôme,Lancôme offers 20% off with any $49+ Advanced Génifique Youth Activating Serum purchasevia coupon code,04/26/2019,,10,20,13
Lancome,with any $49+ Tonique Confort purchase @ Lancôme,"Lancôme offers 20% off on  $49+ Tonique Confort purchase via coupon code ""LANCOME20"". Free shipping on orders over $49.",04/24/2019,,,5,5
Lancome,with $49+ Hydra Zen Beauty purchase @ Lancôme,"Lancôme offers  20% off on $49+ Hydra Zen Beauty purchasevia coupon code ""LANCOME20"". Or， up to $268 valued",04/20/2019,,13,34,17
Lancome,on order $49+ @ Lancôme,"Lancôme offers 20% off on order $49+ via coupon code ""LANCOME20"". Or， up to $268 valued gifts with any $120+",04/20/2019,,690,998,771
Lancome,with $49+ Rose Collection purchase @ Lancôme,"Lancôme offers  20% off on $49+ Rose Collection purchase via coupon code ""LANCOME20"". Or， up to $268 valued",04/20/2019,,44,32,21
Lancome,on order $49+ Advanced Génifique Youth Activating Serum purchase @ Lancôme,Lancôme offers 20% off with any $49+ Advanced Génifique Youth Activating Serum purchase via coupon code,04/19/2019,,45,76,44
Lancome,with any $120+ Tonique Confort purchase @ Lancôme,"Lancôme offers 20% off on  $49+Tonique Confort purchase via coupon code ""LANCOME20"". Or， up to $268 valued",04/18/2019,,38,101,51
