,Store,Discount,Posted_date,Comments_count,Bookmarks_count,Shares_count,year,month,day,weekday,Weekend_FLG,Event_1day,Event_7days,Event_14days,Event_1month,Discount_off,GWP
33,Clinique,Clinique GWP,2012-05-30,0.0,0.0,0.0,2012,5,30,Wednesday,False,Normal,Memorial Day,Memorial Day,Memorial Day,0.0,True
34,Clinique,FREE Grooming Kit,2012-06-01,0.0,0.0,0.0,2012,6,1,Friday,True,Normal,Memorial Day,Memorial Day,Memorial Day,0.0,False
35,Clinique,3 Free Mini Gift,2012-06-11,0.0,0.0,0.0,2012,6,11,Monday,False,Normal,Normal,Normal,Memorial Day,0.0,True
36,Clinique,Clinique GWP:,2012-06-25,0.0,0.0,0.0,2012,6,25,Monday,False,Normal,Normal,Independence Day,Independence Day,0.0,True
37,Clinique,Pick 4 Minis,2012-07-03,0.0,0.0,0.0,2012,7,3,Tuesday,False,Normal,Independence Day,Independence Day,Independence Day,0.0,False
38,Clinique,Free 4 Minis,2012-07-04,0.0,0.0,0.0,2012,7,4,Wednesday,False,Independence Day,Independence Day,Independence Day,Independence Day,0.0,False
39,Clinique,Free Sun Hat,2012-07-10,0.0,0.0,0.0,2012,7,10,Tuesday,False,Normal,Independence Day,Independence Day,Independence Day,0.0,False
40,Clinique,$36.50$103.00,2012-07-11,0.0,0.0,0.0,2012,7,11,Wednesday,False,Normal,Normal,Independence Day,Independence Day,0.0,False
41,Clinique,Free Flower-power Flip Flops,2012-07-16,0.0,0.0,0.0,2012,7,16,Monday,False,Normal,Normal,Independence Day,Independence Day,0.0,False
42,Clinique,Free Travel-Ready 3-Step Minis,2012-07-27,0.0,0.0,0.0,2012,7,27,Friday,True,Normal,Normal,Normal,Independence Day,0.0,True
43,Clinique,Clinique GWP:,2012-08-06,0.0,0.0,0.0,2012,8,6,Monday,False,Normal,Normal,Normal,Labor Day,0.0,True
44,Clinique,Clinique GWP:,2012-08-13,0.0,0.0,0.0,2012,8,13,Monday,False,Normal,Normal,Normal,Labor Day,0.0,True
45,Clinique,2 FREE Minis,2012-08-16,0.0,0.0,0.0,2012,8,16,Thursday,False,Normal,Normal,Normal,Labor Day,0.0,False
46,Clinique,['Clinique coupon:' 'Clinique GWP'],2012-08-23,0.0,0.0,0.0,2012,8,23,Thursday,False,Normal,Normal,Labor Day,Labor Day,0.0,False
47,Clinique,Free Deluxe Sample,2012-08-29,0.0,0.0,0.0,2012,8,29,Wednesday,False,Normal,Labor Day,Labor Day,Labor Day,0.0,True
48,Clinique,FREE Best-Selling Mascara Mini,2012-09-03,0.0,0.0,0.0,2012,9,3,Monday,False,Labor Day,Labor Day,Labor Day,Labor Day,0.0,False
49,Clinique,Clinique GWP:,2012-09-07,0.0,0.0,0.0,2012,9,7,Friday,True,Normal,Labor Day,Labor Day,Labor Day,0.0,True
50,Clinique,Free Mascara Mini,2012-09-13,0.0,0.0,0.0,2012,9,13,Thursday,False,Normal,Normal,Labor Day,Labor Day,0.0,False
51,Clinique,Free,2012-09-15,0.0,0.0,0.0,2012,9,15,Saturday,True,Normal,Normal,Labor Day,Labor Day,0.0,False
52,Clinique,Clinique GWP: Get 3 FREE Minis,2012-09-17,0.0,0.0,0.0,2012,9,17,Monday,False,Normal,Normal,Normal,Labor Day,0.0,True
53,Clinique,Clinique GWP: 4 FREE Minis,2012-09-25,0.0,0.0,0.0,2012,9,25,Tuesday,False,Normal,Normal,Columbus Day,Columbus Day,0.0,True
54,Clinique,Free Shipping Week,2012-10-02,0.0,0.0,0.0,2012,10,2,Tuesday,False,Normal,Columbus Day,Columbus Day,Columbus Day,0.0,False
55,Clinique,Free Shipping,2012-10-10,0.0,0.0,0.0,2012,10,10,Wednesday,False,Normal,Columbus Day,Columbus Day,Columbus Day,0.0,False
56,Clinique,Free 7-PC Gift Set ($65 Value),2012-10-28,0.0,0.0,0.0,2012,10,28,Sunday,False,Normal,Normal,Normal,Veterans Day,0.0,True
57,Clinique,Clinique GWP: Get 3 FREE Minis,2012-10-29,0.0,0.0,0.0,2012,10,29,Monday,False,Normal,Normal,Veterans Day,Veterans Day,0.0,True
58,Clinique,Free Holiday Tote,2012-11-01,0.0,0.0,0.0,2012,11,1,Thursday,False,Normal,Normal,Veterans Day,Veterans Day,0.0,False
59,Clinique,Free 7-PC Gift Set ($65 Value),2012-11-04,0.0,0.0,0.0,2012,11,4,Sunday,False,Normal,Normal,Veterans Day,Veterans Day,0.0,True
60,Clinique,Great Gift Sets on sale,2012-11-07,0.0,0.0,0.0,2012,11,7,Wednesday,False,Normal,Veterans Day,Veterans Day,Veterans Day,0.0,True
61,Clinique,Free skin care bag,2012-11-13,0.0,0.0,0.0,2012,11,13,Tuesday,False,Normal,Veterans Day (Observed),Veterans Day (Observed),Veterans Day (Observed),0.0,False
62,Clinique,Free 3 Pc,2012-11-16,0.0,0.0,0.0,2012,11,16,Friday,True,Normal,Veterans Day (Observed),Veterans Day (Observed),Veterans Day (Observed),0.0,False
63,Clinique,3 Free Minis,2012-11-20,0.0,0.0,0.0,2012,11,20,Tuesday,False,Normal,Thanksgiving,Thanksgiving,Thanksgiving,0.0,False
64,Clinique,Free Chubby Stick mini in Mega Melon,2012-11-23,0.0,0.0,0.0,2012,11,23,Friday,True,Normal,Thanksgiving,Thanksgiving,Thanksgiving,0.0,False
65,Clinique,3 FREE Moisture Minis + Free Shipping,2012-11-26,0.0,0.0,0.0,2012,11,26,Monday,False,Normal,Thanksgiving,Thanksgiving,Thanksgiving,0.0,False
66,Clinique,3 free minis plus 1 more treat on orders over $25,2012-11-28,0.0,0.0,0.0,2012,11,28,Wednesday,False,Normal,Thanksgiving,Thanksgiving,Thanksgiving,0.0,False
67,Clinique,5 FREE Minis over $30+,2012-12-01,0.0,0.0,0.0,2012,12,1,Saturday,True,Normal,Normal,Thanksgiving,Thanksgiving,0.0,False
68,Clinique,Clinique Exclusive eye kit (A $100 value),2012-12-02,0.0,0.0,0.0,2012,12,2,Sunday,False,Normal,Normal,Thanksgiving,Thanksgiving,0.0,False
69,Clinique,['5-piece Clinique Complete Happiness' '$30 '],2012-12-07,0.0,0.0,0.0,2012,12,7,Friday,True,Normal,Normal,Normal,Thanksgiving,0.0,False
70,Clinique,Free Red-Lip Trio,2012-12-12,0.0,0.0,0.0,2012,12,12,Wednesday,False,Normal,Normal,Christmas Day,Christmas Day,0.0,False
71,Clinique,3 free minis,2012-12-13,0.0,0.0,0.0,2012,12,13,Thursday,False,Normal,Normal,Christmas Day,Christmas Day,0.0,False
72,Clinique,7 try-me sizes+ Mini Accessory Bag,2012-12-17,0.0,0.0,0.0,2012,12,17,Monday,False,Normal,Normal,Christmas Day,Christmas Day,0.0,False
73,Clinique,Free 4wk supply,2012-12-18,0.0,0.0,0.0,2012,12,18,Tuesday,False,Normal,Normal,Christmas Day,Christmas Day,0.0,False
74,Clinique,2 Free Minis,2012-12-20,0.0,0.0,0.0,2012,12,20,Thursday,False,Normal,Christmas Day,Christmas Day,Christmas Day,0.0,False
75,Clinique,Free mini bestseller + 2 minis + Free Shipping,2012-12-27,0.0,0.0,0.0,2012,12,27,Thursday,False,Normal,Christmas Day,Christmas Day,Christmas Day,0.0,False
76,Clinique,Free Clinique Happy Fragrance Mini,2013-01-02,0.0,0.0,0.0,2013,1,2,Wednesday,False,Normal,New Year's Day,New Year's Day,New Year's Day,0.0,False
77,Clinique,3 Minis + 1 Extra Mini,2013-01-04,0.0,0.0,0.0,2013,1,4,Friday,True,Normal,New Year's Day,New Year's Day,New Year's Day,0.0,False
78,Clinique,2 Minis + 1 Extra Sample,2013-01-15,0.0,0.0,0.0,2013,1,15,Tuesday,False,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,True
79,Clinique,2 Minis + 1 Extra Sample,2013-01-19,0.0,0.0,0.0,2013,1,19,Saturday,True,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,True
80,Clinique,Free Shipping,2013-01-24,0.0,0.0,0.0,2013,1,24,Thursday,False,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
81,Clinique,Free Mini All About Eyes,2013-01-27,0.0,0.0,0.0,2013,1,27,Sunday,False,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
82,Clinique,FREE 2-week supply,2013-01-28,0.0,0.0,0.0,2013,1,28,Monday,False,Normal,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
83,Clinique,Free Eye Favourite,2013-01-29,0.0,0.0,0.0,2013,1,29,Tuesday,False,Normal,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
84,Clinique,Free shipping,2013-01-31,0.0,0.0,0.0,2013,1,31,Thursday,False,Normal,Normal,Martin Luther King Jr. Day,Martin Luther King Jr. Day,0.0,False
85,Clinique,Free Superbalm Moisturizing Gloss mini in Raspberry,2013-02-04,0.0,1.0,0.0,2013,2,4,Monday,False,Normal,Normal,Normal,Martin Luther King Jr. Day,0.0,False
86,Clinique,Free shipping,2013-02-05,0.0,0.0,0.0,2013,2,5,Tuesday,False,Normal,Normal,Washington's Birthday,Washington's Birthday,0.0,False
87,Clinique,Free Makeup Minis,2013-02-06,0.0,0.0,0.0,2013,2,6,Wednesday,False,Normal,Normal,Washington's Birthday,Washington's Birthday,0.0,False
88,Clinique,3 Free travel minis,2013-02-07,0.0,0.0,0.0,2013,2,7,Thursday,False,Normal,Normal,Washington's Birthday,Washington's Birthday,0.0,False
89,Clinique,Free Shipping,2013-02-10,0.0,0.0,0.0,2013,2,10,Sunday,False,Normal,Normal,Washington's Birthday,Washington's Birthday,0.0,False
90,Clinique,Free Cosmetics Bag,2013-02-14,0.0,0.0,0.0,2013,2,14,Thursday,False,Normal,Washington's Birthday,Washington's Birthday,Washington's Birthday,0.0,False
91,Clinique,Free Clinique Happy Fragrance Mini,2013-02-20,0.0,0.0,0.0,2013,2,20,Wednesday,False,Normal,Washington's Birthday,Washington's Birthday,Washington's Birthday,0.0,False
92,Clinique,FREE,2013-02-22,0.0,0.0,0.0,2013,2,22,Friday,True,Normal,Washington's Birthday,Washington's Birthday,Washington's Birthday,0.0,False
93,Clinique,['Free Long Last Lipstick mini in Red Red Red' 'FREE Floral Sun Tote'],2013-02-23,0.0,0.0,0.0,2013,2,23,Saturday,True,Normal,Washington's Birthday,Washington's Birthday,Washington's Birthday,0.0,False
94,Clinique,Free Quickliner For Eyes Intense mini,2013-02-24,0.0,0.0,0.0,2013,2,24,Sunday,False,Normal,Washington's Birthday,Washington's Birthday,Washington's Birthday,0.0,False
95,Clinique,Free Shipping,2013-03-02,0.0,0.0,0.0,2013,3,2,Saturday,True,Normal,Normal,Washington's Birthday,Washington's Birthday,0.0,False
96,Clinique,Free Two 2-week supply of Dark Spot,2013-03-09,0.0,0.0,0.0,2013,3,9,Saturday,True,Normal,Normal,Normal,Washington's Birthday,0.0,False
97,Clinique,['FREE Floral Sun Tote' 'Free shipping'],2013-03-12,0.0,0.0,0.0,2013,3,12,Tuesday,False,Normal,Normal,Normal,Washington's Birthday,0.0,False
98,Clinique,Free 3 Minis,2013-03-15,0.0,0.0,0.0,2013,3,15,Friday,True,Normal,Normal,Normal,Washington's Birthday,0.0,False
99,Clinique,Free Two 2-week supply of Dark Spot,2013-03-20,0.0,0.0,0.0,2013,3,20,Wednesday,False,Normal,Normal,Normal,Normal,0.0,False
100,Clinique,Free Dramatically Different Moisturizing Lotion(.05 oz.) + Free Shipping,2013-03-21,0.0,0.0,0.0,2013,3,21,Thursday,False,Normal,Normal,Normal,Normal,0.0,False
101,Clinique,Free Clinique Colour Compact + FREE Shipping,2013-03-22,0.0,0.0,0.0,2013,3,22,Friday,True,Normal,Normal,Normal,Normal,0.0,False
102,Clinique,3 Free Minis + Free Shipping,2013-03-23,0.0,0.0,0.0,2013,3,23,Saturday,True,Normal,Normal,Normal,Normal,0.0,False
103,Clinique,"Free Long Last Lipstick Mini in Red, Red, Red",2013-03-28,0.0,0.0,0.0,2013,3,28,Thursday,False,Normal,Normal,Normal,Normal,0.0,False
104,Clinique,Free 3 steps skincare minis,2013-03-30,0.0,0.0,0.0,2013,3,30,Saturday,True,Normal,Normal,Normal,Normal,0.0,False
105,Clinique,['$35 ' 'Free Limited Edition Tote'],2013-04-08,0.0,0.0,0.0,2013,4,8,Monday,False,Normal,Normal,Normal,Normal,0.0,False
106,Clinique,Free 3 Mini,2013-04-14,0.0,0.0,0.0,2013,4,14,Sunday,False,Normal,Normal,Normal,Normal,0.0,False
107,Clinique,Free a Mini Sample + Free Shipping,2013-04-19,0.0,0.0,0.0,2013,4,19,Friday,True,Normal,Normal,Normal,Normal,0.0,True
108,Clinique,Clinique,2013-04-23,0.0,0.0,0.0,2013,4,23,Tuesday,False,Normal,Normal,Normal,Normal,0.0,False
